data,campanha_id,campanha_nome,canal,objetivo,dispositivo,segmento_publico,investimento,impressoes,cliques,ctr,conversoes,receita,cpc,cpa,roas
2025-01-01,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,83.66,591,23,0.0389,2,0.0,3.64,41.83,0.0
2025-01-01,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,31.64,492,20,0.0407,0,0.0,1.58,,0.0
2025-01-02,C001,Google Search - Marca,Google Ads,leads,Mobile,Geral,82.39,575,20,0.0348,1,0.0,4.12,82.39,0.0
2025-01-02,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,40.05,574,22,0.0383,0,0.0,1.82,,0.0
2025-01-03,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,91.2,492,20,0.0407,1,0.0,4.56,91.2,0.0
2025-01-03,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Lookalike,38.92,1067,32,0.03,0,0.0,1.22,,0.0
2025-01-04,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,52.97,290,10,0.0345,1,0.0,5.3,52.97,0.0
2025-01-04,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,23.79,327,14,0.0428,0,0.0,1.7,,0.0
2025-01-05,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,73.94,525,17,0.0324,1,0.0,4.35,73.94,0.0
2025-01-05,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,32.89,615,17,0.0276,0,0.0,1.93,,0.0
2025-01-06,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,89.31,395,18,0.0456,1,0.0,4.96,89.31,0.0
2025-01-06,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Interesses,36.92,551,20,0.0363,0,0.0,1.85,,0.0
2025-01-07,C001,Google Search - Marca,Google Ads,leads,Mobile,Lookalike,74.52,373,15,0.0402,1,0.0,4.97,74.52,0.0
2025-01-07,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,40.74,610,26,0.0426,0,0.0,1.57,,0.0
2025-01-08,C001,Google Search - Marca,Google Ads,leads,Desktop,Lookalike,93.99,486,18,0.037,1,0.0,5.22,93.99,0.0
2025-01-08,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Interesses,38.05,707,28,0.0396,0,0.0,1.36,,0.0
2025-01-09,C001,Google Search - Marca,Google Ads,leads,Mobile,Geral,87.87,492,19,0.0386,1,0.0,4.62,87.87,0.0
2025-01-09,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Interesses,41.54,662,24,0.0363,0,0.0,1.73,,0.0
2025-01-10,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,90.83,676,18,0.0266,1,0.0,5.05,90.83,0.0
2025-01-10,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Remarketing,44.27,994,33,0.0332,0,0.0,1.34,,0.0
2025-01-11,C001,Google Search - Marca,Google Ads,leads,Mobile,Geral,59.48,337,14,0.0415,1,0.0,4.25,59.48,0.0
2025-01-11,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Geral,36.43,741,27,0.0364,0,0.0,1.35,,0.0
2025-01-12,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,62.92,380,14,0.0368,1,0.0,4.49,62.92,0.0
